species	species_ID_method	strain	isotype	previous_names	sequenced	release	source_lab	latitude	longitude	landscape	locality_description	substrate	substrate_comments	substrate_temp	substrate_moisture	ambient_temp	ambient_humidity	associated_organism	life_stage	log_size_of_population	males_observed	inbreeding_state	photo	sampled_by	isolated_by	sampling_date	sampling_date_comments	isolation_comments	notes
		NIC1038		31-O4			NIC	4.03896	-52.66843	Forest		Fruit (bait)	Orange (bait)											C. Braendle & A. Cutter	C. Braendle	2014-08-17		Layon 2	Fruit spot sampling experiment
		NIC105		H6F6.5			NIC	4.08747	-52.67394	Forest		Fruit	Cecropia fruits, Cecropia sp.													2009-11-25		Grand Plateau, Subsampling H6	Subsampling Cecropia fruits, 25/11/2009. Samples H6, Grand Plateau, Nouragues Forest Station , French Guiana.4.08747, -52.67394
		NIC1112		S1.1	1		NIC	-12.829016	-71.377696	Rural garden		Fruit	Orange fruit											C. Braendle	C. Braendle	2015-03-27		Cocha Machu Huasi, Salvacion	egl?; bleached
		NIC1113		S1.2			NIC	-12.829016	-71.377696	Rural garden		Fruit	Fig?											C. Braendle	C. Braendle	2015-03-27		Cocha Machu Huasi, Salvacion	bleached
		NIC1114		R1.1			NIC	-12.838824	-71.365178	Forest		Flower	White flower, lilac cultivated?											C. Braendle	C. Braendle	2015-04-02		Rio Salvacion, Salvacion	bleached
		NIC1115		R1.2			NIC	-12.838824	-71.365178	Forest		Flower	White flower, lilac cultivated?											C. Braendle	C. Braendle	2015-04-02		Rio Salvacion, Salvacion	bleached
		NIC1116		R2.1			NIC	-12.838824	-71.365178	Forest		Leaf	Plant leaves											C. Braendle	C. Braendle	2015-04-02		Rio Salvacion, Salvacion	bleached
		NIC1121		26			NIC	-12.87416004	-69.49736402	Forest		Fruit	Small black fruits											C. Braendle	C. Braendle	2015-04-10		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1122		27.1			NIC	-12.87435802	-69.49724601	Forest		Fruit	Orange fruit (not Huito)											C. Braendle	C. Braendle	2015-04-10		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1123; bleached
		NIC1126		32			NIC	-12.874715	-69.49602501	Forest		Fruit	Papaya wild (orange fruit), Caricaceae											C. Braendle	C. Braendle	2015-04-10		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1129		36			NIC	-12.87515396	-69.49554498	Forest		Fruit	Genipa fruit (Huito)?, Genipa americana?											C. Braendle	C. Braendle	2015-04-10		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1130		37a			NIC	-12.87531297	-69.49663002	Forest		Fruit	Yellow plum-like fruit (with pit), huvo											C. Braendle	C. Braendle	2015-04-10		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1132		38b			NIC	-12.87564397	-69.49700503	Forest		Fruit	Porcupine fruit											C. Braendle	C. Braendle	2015-04-10		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1133		38c			NIC	-12.87564397	-69.49700503	Forest		Fruit	Leonia glycycarpa (?) fruits, fresh, Leonia glycycarpa (?) sp.?											C. Braendle	C. Braendle	2015-04-10		Forest, Trail, Chuncho lodge, Tambopata	bleached
		NIC1136		45.1			NIC	-12.872141	-69.49788203	Forest		Fruit	Palm fruit, orange - Wikungo, Astrocaryum sp.											C. Braendle	C. Braendle	2015-04-10		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1137; bleached
		NIC1137		45.2			NIC	-12.872141	-69.49788203	Forest		Fruit	Palm fruit, orange - Wikungo, Astrocaryum sp.											C. Braendle	C. Braendle	2015-04-10		Forest, Trail, Chuncho lodge, Tambopata	from same sample as NIC1136; bleached
